TAZ,FIPS,Emp,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,Cons,Manu,TCU,Whol,Retail,FIRE,Serv,Govt
1,121,62,0,0,0,1,0,2,0,0,0,0,0,6,0,5,1,0,0,0,47,0,1,0,0,2,0,0,59,0
2,121,150,0,0,0,17,0,9,12,0,1,6,1,43,0,11,15,34,1,0,0,0,17,0,1,9,12,7,104,0
3,121,1154,0,0,0,6,0,9,499,0,4,19,6,19,1,45,168,4,76,268,17,13,6,0,4,9,767,25,330,13
4,121,62,0,0,0,5,0,13,0,0,0,7,3,25,0,4,0,1,1,0,3,0,5,0,0,13,0,10,34,0
5,121,226,0,0,0,5,0,4,0,0,0,27,0,22,1,18,2,1,0,141,5,0,5,0,0,4,141,27,49,0
6,121,108,0,0,0,5,16,0,24,0,0,8,0,20,1,4,0,0,0,11,19,0,5,16,0,0,35,8,44,0
7,121,616,0,0,0,6,7,1,270,0,17,3,0,4,0,20,0,111,2,170,5,0,6,7,17,1,440,3,142,0
8,121,49,0,0,0,14,0,7,0,0,0,1,3,19,0,4,0,0,0,1,0,0,14,0,0,7,1,4,23,0
9,121,45,0,0,0,1,0,0,0,0,6,0,0,1,0,2,0,34,0,1,0,0,1,0,6,0,1,0,37,0
10,121,335,0,0,0,0,0,0,3,0,0,0,0,0,0,25,273,0,0,28,6,0,0,0,0,0,31,0,304,0
11,121,27,0,0,0,1,0,1,0,0,0,0,0,7,0,3,0,0,12,0,3,0,1,0,0,1,0,0,25,0
12,121,15,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0,0,1,0,0,1,12,0,1,0
13,121,82,0,0,0,0,0,1,1,0,0,4,0,16,0,7,39,1,1,0,12,0,0,0,0,1,1,4,76,0
14,121,830,0,0,0,14,0,8,335,0,16,42,9,80,0,54,0,75,0,190,7,0,14,0,16,8,525,51,216,0
15,121,56,0,0,0,0,0,0,0,0,0,8,0,2,0,4,26,0,0,0,9,7,0,0,0,0,0,8,41,7
16,121,190,0,0,0,119,0,1,0,0,0,0,3,34,0,14,0,0,12,0,0,7,119,0,0,1,0,3,60,7
17,121,48,0,0,0,4,0,4,1,0,0,1,0,1,0,3,0,1,30,0,3,0,4,0,0,4,1,1,38,0
18,121,143,0,26,0,0,0,8,0,0,0,4,0,0,0,10,94,0,0,0,1,0,0,0,0,8,0,4,131,0
19,121,45,0,0,0,1,0,0,0,0,0,1,0,30,0,3,0,0,0,0,10,0,1,0,0,0,0,1,43,0
20,121,120,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,105,0,2,0,0,0,0,0,0,3,117,0
21,121,16,7,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,0,0,2,0,0,14,0
22,121,41,0,0,0,1,0,0,0,0,0,8,0,22,0,5,2,1,0,0,2,0,1,0,0,0,0,8,32,0
23,121,10,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0
24,121,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
25,121,228,0,0,0,6,0,0,106,0,1,15,0,3,0,28,0,0,0,26,43,0,6,0,1,0,132,15,74,0
