TAZ,UNIV,ACRES
1,0,155
2,0,518
3,0,2146
4,0,683
5,0,359
6,0,21
7,0,434
8,0,496
9,0,179
10,0,431
11,0,237
12,0,198
13,0,1085
14,0,50
15,0,123
16,0,1133
17,0,1042
18,0,831
19,0,757
20,0,682
21,0,514
22,0,1426
23,0,415
24,0,359
25,0,835
26,0,1532
27,0,944
28,0,571
29,0,121
30,0,1972
31,0,719
32,0,1408
33,0,973
34,0,754
35,0,691
36,0,834
37,0,209
38,0,407
39,0,615
40,0,666
41,0,463
42,0,62
43,0,71
44,0,383
45,0,494
46,0,51
47,0,30
48,0,765
49,0,296
50,0,808
51,0,381
52,0,743
53,0,424
54,0,190
55,0,347
56,177,217
57,0,48
58,0,455
59,0,136
60,0,129
61,0,516
62,0,279
63,0,284
64,0,144
65,0,54
66,0,100
67,0,112
68,0,244
69,0,251
70,1087,328
71,0,194
72,0,103
73,0,235
74,0,27
75,0,345
76,0,186
77,0,605
78,0,57
79,0,115
80,0,162
81,0,104
82,0,420
83,0,339
84,0,299
85,0,377
86,0,211
87,0,580
88,0,510
89,0,1042
90,0,1125
91,0,383
92,0,412
93,0,667
94,0,924
95,0,509
96,0,194
97,0,1605
98,0,1455
99,0,526
100,0,455
101,0,962
102,594,146
103,0,506
104,0,686
105,0,302
106,0,682
107,0,523
108,0,858
109,0,614
110,0,370
111,0,1100
112,0,312
113,0,205
114,0,341
115,0,421
116,0,308
117,0,406
118,0,151
119,0,321
120,0,317
121,0,653
122,3059,400
123,0,358
124,0,801
125,0,206
126,0,206
127,0,205
128,0,164
129,0,39
130,0,373
131,1195,176
132,0,160
133,0,60
134,0,17
135,0,448
136,0,164
137,0,599
138,0,417
139,0,438
140,0,107
141,0,509
142,0,477
143,0,310
144,0,42
145,0,420
146,0,642
147,0,646
148,0,819
149,0,460
150,0,1360
151,0,45
152,0,886
153,0,194
154,0,538
155,0,465
156,0,580
157,0,134
158,0,101
159,0,549
160,0,138
161,0,185
162,0,91
163,0,176
164,0,88
165,0,232
166,0,209
167,0,153
168,0,670
169,0,1078
170,0,1212
171,0,900
172,0,109
173,0,816
174,0,914
175,0,363
176,0,1015
177,0,1741
178,0,455
179,0,118
180,0,633
181,0,702
182,0,458
183,0,634
184,0,429
185,0,875
186,0,501
187,0,127
188,0,337
189,0,283
190,0,1356
191,0,521
192,0,546
193,0,646
194,0,268
195,0,270
196,0,262
197,0,1557
198,0,964
199,0,338
200,0,166
201,0,185
202,958,135
203,0,31
204,0,119
205,0,56
206,0,371
207,0,107
208,4763,81
209,0,33
210,0,96
211,0,119
212,0,150
213,0,100
214,0,222
215,0,629
216,0,534
217,0,313
218,0,52
219,0,847
220,0,447
221,0,263
222,0,79
223,0,412
224,130,223
225,0,200
226,0,11
227,0,16
228,0,719
229,0,66
230,0,56
231,0,99
232,0,19
233,0,28
234,0,33
235,0,23
236,0,25
237,0,21
238,0,36
239,0,58
240,0,399
241,0,88
242,0,30
243,2216,178
244,757,42
245,0,50
246,492,79
247,1345,38
248,0,93
249,0,59
250,0,159
251,0,41
252,0,116
253,0,2
254,0,26
255,0,342
256,0,106
257,0,46
258,0,31
259,0,145
260,0,61
261,0,263
262,353,186
263,0,117
264,0,126
265,0,47
266,0,343
267,0,418
268,0,444
269,0,60
270,0,88
271,2320,457
272,0,159
273,0,338
274,0,1013
275,0,724
276,0,382
277,0,54
278,0,108
279,0,219
280,0,192
281,0,693
282,0,101
283,0,210
284,0,39
285,0,419
286,0,65
287,0,55
288,0,20
289,0,77
290,0,188
291,0,37
292,0,95
293,0,678
294,0,173
295,0,332
296,0,46
297,0,54
298,0,76
299,0,77
300,0,282
301,0,465
302,151,177
303,1345,85
304,0,203
305,0,335
306,0,209
307,0,528
308,0,690
309,0,169
310,0,617
311,0,960
312,0,282
313,0,515
314,0,242
315,0,300
316,0,931
317,0,181
318,0,230
319,0,406
320,0,413
321,0,61
322,0,73
323,0,63
324,0,27
325,0,140
326,0,128
327,0,105
328,0,411
329,0,53
330,0,301
331,0,117
332,0,149
333,0,185
334,0,218
335,0,139
336,0,577
337,0,84
338,0,52
339,0,82
340,0,244
341,0,69
342,0,56
343,0,216
344,0,123
345,0,293
346,440,88
347,353,93
348,0,113
349,0,38
