FACTYPE,ATYPE1,ATYPE2,ATYPE3,ATYPE4,ATYPE5,ATYPE6,ATYPE7,NAME
0,10000,10000,10000,10000,10000,10000,10000,centroid connector
1,1900,1900,2000,2000,2050,2100,2100,interstate/freeway
2,1200,1200,1300,1350,1400,1450,1450,expressway
3,1150,1150,1250,1300,1350,1400,1400,parkway
4,1900,1900,2000,2000,2050,2100,2100,freeway HOV (concurrent)
5,1900,1900,2000,2000,2050,2100,2100,freeway HOV (barrier sep)
6,1900,1900,2000,2000,2050,2100,2100,freeway truck only
7,1300,1400,1500,1600,1700,1700,1700,system to system ramp 
8,800,850,850,850,850,900,900,exit ramp
9,900,900,950,950,1000,1050,1100,entrance ramp
10,1000,1050,1100,1150,1200,1250,1300,principal arterial
11,900,900,950,1000,1000,1050,1100,minor arterial
12,1000,1050,1100,1150,1200,1250,1300,arterial HOV
13,900,900,950,1000,1000,1050,1100,arterial truck only
14,750,800,800,850,850,900,900,collector
50,0,0,0,0,0,0,0,transit only
51,0,0,0,0,0,0,0,transit only
52,0,0,0,0,0,0,0,transit only
