N,COUNTY,X,Y,EXTFLAG,POP00,POP05,POP10,POP15,POP20,POP25,POP30,POP40
6032,BANKS,2497268,1586177,3,14422,15926,18395,20009,21701,23475,25270,28983
6033,BUTTS,2361832,1193414,5,19522,23447,23655,25803,27987,30238,32548,36349
6034,CHAMBERS,1922419,1057978,6,35567,35961,34215,33345,32457,31491,30456,28317
6035,CHATTOOGA,1944991,1632827,1,25470,26977,26015,26719,27263,27666,27894,28625
6036,CHEROKEE,1868245,1519964,1,24525,26423,25989,26756,27356,27725,27883,27771
6037,CLARKE,2537898,1441712,4,101489,102662,116714,124904,134371,144570,155127,172546
6038,CLEBURNE,1896837,1346907,7,14123,14766,14972,15354,15634,15817,15907,15950
6039,FANNIN,2259503,1775787,2,19798,22817,23682,24850,26348,28190,30361,33203
6040,FLOYD,1981108,1544041,1,90565,92727,96317,99147,101600,103731,105454,111356
6041,FRANKLIN,2578529,1587682,3,20285,22034,22084,22590,23024,23383,23685,24912
6042,GILMER,2211348,1705059,2,23456,26610,28292,29697,30946,32016,32900,36595
6043,GORDON,2086446,1641856,1,44104,49182,55186,59196,63371,67681,72031,81708
6044,GREENE,2604111,1298753,4,14406,16200,15994,16584,17049,17404,17687,18851
6045,HABERSHAM,2488239,1683992,3,35902,40296,43041,45856,48705,51629,54623,60810
6046,HARALSON,1982612,1377004,7,25690,27848,28780,30170,31494,32734,33817,36660
6047,HARRIS,2068388,996280,6,23695,26671,32024,34841,37763,40806,43831,51093
6048,HEARD,2000671,1196423,6,11012,11770,11834,12421,13008,13575,14071,15020
6049,JACKSON,2479210,1500401,3,41589,50065,60485,66734,73438,80793,88837,104590
6050,JASPER,2446103,1211472,4,11426,13097,13900,14857,15799,16715,17592,19704
6051,LAMAR,2303143,1116667,5,15912,17298,18317,19902,21565,23326,25123,27873
6052,LUMPKIN,2348289,1661419,2,21016,24005,29966,33748,38075,42831,47966,56553
6053,MADISON,2593578,1506420,3,25730,27437,28120,29110,29809,30286,30536,32612
6054,MERIWETHER,2140621,1104628,6,22534,22867,21992,22304,22386,22258,21977,21886
6055,MONROE,2376881,1098609,5,21757,23200,26424,27596,28690,29665,30474,34213
6056,MORGAN,2501782,1313801,4,15457,17889,17868,18464,18941,19329,19604,21149
6057,MURRAY,2121058,1741175,1,36506,40865,39628,41484,43093,44487,45589,48443
6058,OCONEE,2519840,1399577,4,26225,29148,32808,36207,39777,43673,47833,54532
6059,OGLETHORPE,2626684,1411616,4,12635,13802,14899,15833,16708,17530,18295,20358
6060,PICKENS,2209843,1623798,2,22983,29263,29431,31055,32523,33829,34966,39181
6061,PIKE,2230911,1122686,5,13688,15663,17869,19523,21267,23170,25165,28914
6062,POLK,1987127,1458266,7,38127,40634,41475,43393,45099,46715,48256,51631
6063,PUTNAM,2548432,1212977,4,18812,19810,21218,22304,23237,24067,24871,27172
6064,RABUN,2525860,1774282,3,15050,15990,16276,16792,17201,17535,17762,18828
6065,RANDOLPH,1907370,1203948,6,22380,23600,22913,23185,23405,23555,23611,23524
6066,STEPHENS,2560471,1662924,3,25435,26192,26175,27078,27905,28604,29161,30388
6067,TALBOT,2193290,984241,6,6498,7227,6865,6777,6602,6359,6046,6026
6068,TOWNS,2428045,1786321,3,9319,10493,10471,11173,11874,12470,13008,14191
6069,TROUP,2035282,1101618,6,58779,61342,67044,71486,75950,80616,85482,94308
6070,UNION,2360327,1750205,2,17289,19439,21356,22500,23570,24458,25219,28412
6071,UPSON,2257998,1042930,5,27597,28030,27153,27239,27144,26825,26329,26077
6072,WALKER,1957030,1715593,1,61053,64010,68756,70952,72878,74489,75717,82028
6073,WHITE,2422026,1691516,3,19944,24282,27144,29117,31057,32994,34841,40273
6074,WHITFIELD,2050330,1745690,1,83525,89564,102599,109225,116186,123691,131572,148406
