N,NAME,FIPS,EXCNTSTA,LANES,EXTFLAG,INTFLAG,AADT2000,AADT2005,AADT2010,AADT2015,AWDT2000,AWDT2005,AWDT2010,AWDT2015,PCINTWK,PCINTNW,PCNINTW,PCNINTN,CAREE,COMIE,COMEE,MTKIE,MTKEE,HTKIE,HTKEE
5923,SR 113,15,192,2,7,0,9229,7890,7100,7260,9840,8412,7570,7740,0.0000,0.0000,0.3520,0.3519,0.0864,0.0941,0.0055,0.0551,0.0000,0.0462,0.0089
5924,Chulio Rd/Euhar,15,294,2,1,0,1122,1350,1430,1260,1198,1440,1526,1340,0.0000,0.0000,0.4207,0.4207,0.0000,0.1081,0.0000,0.0446,0.0000,0.0052,0.0000
5925,SR 20/US 411,15,134,4,1,0,18660,17290,16790,16100,19892,18432,17900,17160,0.0000,0.0000,0.3675,0.3675,0.0422,0.1002,0.0025,0.0411,0.0045,0.0546,0.0198
5926,SR 293,15,261,2,1,0,1400,1780,1630,1490,1494,1898,1738,1590,0.0000,0.0000,0.3717,0.3711,0.0213,0.1249,0.0023,0.0771,0.0000,0.0316,0.0000
5927,SR 140,15,203,2,1,0,9420,11450,10670,11400,10042,12206,11376,12150,0.0000,0.0000,0.3309,0.3309,0.0585,0.0953,0.0044,0.0900,0.0000,0.0861,0.0040
5928,Lancaster Rd,15,8162,2,1,0,500,550,608,530,534,588,650,570,0.0000,0.0000,0.4138,0.4123,0.0000,0.1200,0.0000,0.0492,0.0000,0.0062,0.0000
5929,US 41,15,132,2,1,0,8160,8840,8600,9860,8700,9424,9168,10510,0.0000,0.0000,0.3733,0.3731,0.0201,0.1130,0.0028,0.0577,0.0000,0.0587,0.0013
5930,I-75,15,283,6,1,1,53129,61780,57990,60800,53290,61966,58164,60980,0.2751,0.2751,0.0000,0.0000,0.2022,0.0074,0.0003,0.0363,0.0093,0.0727,0.1217
5931,US 411,15,189,2,1,0,5343,6420,4480,5340,5696,6844,4776,5690,0.0000,0.0000,0.3371,0.3369,0.0266,0.0959,0.0036,0.0739,0.0000,0.1114,0.0147
5932,SR 108,57,92,2,2,0,2844,2950,2770,3190,3032,3146,2954,3400,0.0000,0.0000,0.3808,0.3805,0.0335,0.1049,0.0030,0.0748,0.0000,0.0217,0.0007
5933,I-575 (SR 5),227,235,4,2,1,19529,24010,23450,26800,19588,24084,23522,26880,0.3846,0.3846,0.0000,0.0000,0.1040,0.0560,0.0069,0.0245,0.0061,0.0194,0.0138
5934,SR 372,57,1,2,2,0,4438,4670,3520,3720,4732,4980,3754,3970,0.0000,0.0000,0.3426,0.3423,0.1239,0.1010,0.0019,0.0826,0.0000,0.0059,0.0000
5935,Yellow Creek Rd,57,192,2,2,0,3000,3440,2830,2790,3198,3668,3018,2980,0.0000,0.0000,0.3943,0.3943,0.0013,0.1199,0.0000,0.0812,0.0000,0.0089,0.0000
5936,SR 53,85,127,2,2,0,2300,2300,2440,2640,2450,2450,2600,2810,0.0000,0.0000,0.3580,0.3580,0.0796,0.0796,0.0088,0.0521,0.0058,0.0524,0.0058
5937,SR 136,227,174,2,2,0,570,570,570,600,610,610,610,640,0.0000,0.0000,0.3809,0.3809,0.0846,0.0846,0.0094,0.0380,0.0042,0.0155,0.0017
5938,SR 52 W,85,118,2,2,0,2610,2610,2610,2830,2780,2780,2780,3010,0.0000,0.0000,0.3673,0.3673,0.0816,0.0816,0.0091,0.0292,0.0032,0.0546,0.0061
5939,SR 52 E,187,34,2,2,0,1345,1345,1345,1440,1430,1430,1430,1530,0.0000,0.0000,0.3774,0.3774,0.0839,0.0839,0.0093,0.0358,0.0040,0.0255,0.0028
5940,SR 9,85,116,2,2,0,3330,3330,3330,3590,3550,3550,3550,3830,0.0000,0.0000,0.4041,0.4041,0.0108,0.1084,0.0026,0.0476,0.0000,0.0219,0.0005
5941,Auraria Rd,85,214,2,2,0,1000,1510,1440,1320,1070,1610,1540,1410,0.0000,0.0000,0.4041,0.4041,0.0108,0.1084,0.0026,0.0476,0.0000,0.0219,0.0005
5942,US 19,85,243,4,2,1,17680,17680,17680,17300,17730,17730,17730,17350,0.3858,0.3858,0.0000,0.0000,0.0857,0.0857,0.0095,0.0302,0.0034,0.0124,0.0014
5943,SR 60,139,325,2,2,0,10160,7370,6860,7890,10832,7858,7314,8410,0.0000,0.0000,0.3981,0.3981,0.0576,0.0857,0.0041,0.0321,0.0016,0.0187,0.0038
5944,SR 115,187,61,2,2,0,1800,1550,1170,1030,1920,1654,1248,1100,0.0000,0.0000,0.3758,0.3758,0.0208,0.1210,0.0064,0.0921,0.0000,0.0072,0.0008
5945,SR 52,187,49,2,2,0,2158,1720,1490,1680,2302,1834,1590,1790,0.0000,0.0000,0.3396,0.3396,0.0836,0.1220,0.0050,0.0660,0.0000,0.0428,0.0013
5946,Ransom Free Rd,139,8001,2,2,0,500,550,620,510,534,588,662,540,0.0000,0.0000,0.4124,0.4124,0.0000,0.1193,0.0000,0.0498,0.0000,0.0060,0.0000
5947,SR 284,139,385,2,3,0,1340,1250,1270,1340,1430,1334,1354,1430,0.0000,0.0000,0.3833,0.3833,0.0258,0.1256,0.0015,0.0702,0.0000,0.0089,0.0007
5948,US 129,139,161,2,3,0,8740,10430,8430,10600,9318,11120,8988,11300,0.0000,0.0000,0.3590,0.3589,0.1124,0.0859,0.0138,0.0476,0.0000,0.0190,0.0033
5949,SR 254,139,342,2,3,0,864,1030,1760,1890,922,1098,1878,2020,0.0000,0.0000,0.3594,0.3589,0.1081,0.1124,0.0149,0.0293,0.0000,0.0144,0.0027
5950,Skitt Mtn Rd,139,561,2,3,0,1714,1440,1420,1140,1828,1536,1514,1220,0.0000,0.0000,0.3864,0.3864,0.0561,0.1222,0.0053,0.0396,0.0000,0.0040,0.0000
5951,US 23/SR 365,139,220,4,3,1,11120,19790,18150,20500,11154,19850,18206,20560,0.3269,0.3269,0.0000,0.0000,0.1841,0.0591,0.0031,0.0414,0.0047,0.0400,0.0140
5952,SR 51/Cornelia,137,248,2,3,0,2176,1320,1880,1690,2320,1408,2006,1800,0.0000,0.0000,0.3829,0.3824,0.0174,0.1246,0.0030,0.0823,0.0000,0.0080,0.0000
5953,SR 51,139,238,2,3,0,6600,3020,2650,2670,7036,3220,2826,2850,0.0000,0.0000,0.3701,0.3698,0.0803,0.0924,0.0071,0.0432,0.0000,0.0326,0.0042
5954,Highway 323,139,397,2,3,0,1000,1370,1310,932,1066,1462,1398,990,0.0000,0.0000,0.3763,0.3763,0.0021,0.1202,0.0000,0.0751,0.0000,0.0501,0.0000
5955,SR 52,139,241,2,3,0,925,1400,2700,2900,988,1494,2880,3090,0.0000,0.0000,0.3576,0.3576,0.0368,0.1243,0.0038,0.0503,0.0000,0.0670,0.0028
5956,SR 82,139,327,2,3,0,1120,1070,1190,950,1194,1142,1270,1010,0.0000,0.0000,0.3748,0.3740,0.0236,0.1268,0.0008,0.0606,0.0000,0.0394,0.0000
5957,SR 11/US 129,157,292,2,3,0,9440,11530,8280,9830,10064,12292,8828,10480,0.0000,0.0000,0.3552,0.3551,0.0600,0.0971,0.0025,0.0455,0.0000,0.0766,0.0079
5958,Talmo Rd,157,240,2,3,0,2800,2820,2400,2850,2986,3008,2560,3040,0.0000,0.0000,0.3805,0.3801,0.0000,0.1199,0.0000,0.0527,0.0000,0.0668,0.0000
5959,SR 60/SR 332,139,296,2,3,0,2200,2520,2670,3570,2346,2688,2848,3810,0.0000,0.0000,0.3943,0.3943,0.0478,0.1039,0.0021,0.0341,0.0000,0.0225,0.0011
