MTAZ10,CTAZ10,TRACT10,TAD10,SD10,FIPS,COUNTY,County_Renum,SD_NAME,SD_Renum,ACTCTR,ACTCTRNUM,ETAFLAG,ATYPE
1,13121018,13121011506,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
2,13121018,13121011506,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
3,13121019,13121011506,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
4,13121020,13121011505,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
5,13121021,13121011505,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
6,13121021,13121011505,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,4
7,13121014,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,3
8,13121013,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
9,13121013,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
10,13121013,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
11,13121013,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
12,13121013,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
13,13121015,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
14,13121015,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,4
15,13121017,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,4
16,13121017,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
17,13121017,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
18,13121016,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
19,13121016,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
20,13121016,13121011503,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
21,13121001,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
22,13121001,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,7
23,13121001,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,7
24,13121001,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
25,13121002,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
26,13121002,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
27,13121002,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
28,13121003,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
29,13121003,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
30,13121003,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
31,13121004,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
32,13121004,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
33,13121007,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,7
34,13121007,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
35,13121007,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
36,13121005,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
37,13121006,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
38,13121006,13121011504,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
39,13121008,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
40,13121008,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
41,13121009,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
42,13121009,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,3
43,13121009,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,3
44,13121010,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
45,13121010,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
46,13121010,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,3
47,13121010,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,2
48,13121011,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
49,13121011,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
50,13121012,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
51,13121012,13121011615,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,6
52,13121025,13121011610,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
53,13121026,13121011610,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,5
54,13121027,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,4
55,13121027,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,4
56,13121028,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,3
57,13121028,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,3
58,13121029,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,3
59,13121029,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,,0,0,3
60,13121029,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,4
61,13121029,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,3
62,13121030,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,4
63,13121031,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,2
64,13121031,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,3
65,13121031,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,2
66,13121031,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,3
67,13121031,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,2
68,13121031,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,1
69,13121031,13121011611,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,2
70,13121039,13121011616,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,4
71,13121039,13121011616,13121064,1,13121,Fulton,1,N Fulton,1,North Point,10,0,4
