PrimPurp,Direction,DepartRangeStart,DepartRangeEnd,Ptype,Work,University,School,Escort,Shop,Maintenance,Eating Out,Visiting,Discretionary
Work,Outbound,1,12,FT Worker,0.26500,0.00000,0.00000,0.29240,0.11390,0.25100,0.06140,0.00460,0.01170
Work,Outbound,1,12,PT Worker,0.19850,0.00000,0.00000,0.24520,0.09640,0.34870,0.02710,0.05520,0.02890
Work,Outbound,1,12,University Student,0.09110,0.15610,0.00000,0.44220,0.00000,0.31060,0.00000,0.00000,0.00000
Work,Outbound,13,48,FT Worker,0.44910,0.00000,0.00000,0.04900,0.13750,0.16520,0.15010,0.03610,0.01300
Work,Outbound,13,48,PT Worker,0.16510,0.00000,0.00000,0.17710,0.26630,0.22810,0.10530,0.03420,0.02390
Work,Outbound,13,48,University Student,0.09890,0.10380,0.00000,0.00000,0.24780,0.15140,0.22190,0.10390,0.07230
Work,Outbound,1,48,Driving-age Child,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
University,Outbound,1,48,University Student,0.02890,0.07090,0.00000,0.09890,0.27270,0.21920,0.17110,0.05330,0.08500
School,Outbound,1,48,Driving-age Child,0.03770,0.00000,0.11810,0.39510,0.17810,0.12230,0.00000,0.05540,0.09330
School,Outbound,1,48,Pre-Driving Child,0.00000,0.00000,0.04980,0.64080,0.05480,0.14600,0.02610,0.01170,0.07080
School,Outbound,1,48,Preschool,0.00000,0.00000,0.00020,0.30730,0.16220,0.29310,0.03900,0.15920,0.03900
Escort,Outbound,1,48,FT Worker,0.00000,0.00000,0.00000,0.21190,0.28340,0.33850,0.05810,0.00770,0.10040
Escort,Outbound,1,48,PT Worker,0.00000,0.00000,0.00000,0.15690,0.31680,0.30160,0.12590,0.08060,0.01820
Escort,Outbound,1,48,University Student,0.00000,0.00000,0.00000,0.16290,0.06660,0.52520,0.13310,0.05260,0.05960
Escort,Outbound,1,48,Homemaker,0.00000,0.00000,0.00000,0.25640,0.13230,0.46660,0.00950,0.05690,0.07830
Escort,Outbound,1,48,Retired,0.00000,0.00000,0.00000,0.00020,0.10260,0.27870,0.50640,0.11210,0.00000
Escort,Outbound,1,48,Driving-age Child,0.00000,0.00000,0.00000,0.25650,0.06490,0.24000,0.27040,0.00000,0.16820
Escort,Outbound,1,48,Pre-Driving Child,0.00000,0.00000,0.00000,0.14990,0.15260,0.41200,0.03700,0.10860,0.13990
Escort,Outbound,1,48,Preschool,0.00000,0.00000,0.00000,0.13730,0.55140,0.31130,0.00000,0.00000,0.00000
Shop,Outbound,1,48,FT Worker,0.00000,0.00000,0.00000,0.04700,0.23110,0.49040,0.15560,0.04360,0.03230
Shop,Outbound,1,48,PT Worker,0.00000,0.00000,0.00000,0.09270,0.26160,0.36730,0.16500,0.03930,0.07410
Shop,Outbound,1,48,University Student,0.00000,0.00000,0.00000,0.18440,0.35570,0.20170,0.15520,0.10300,0.00000
Shop,Outbound,1,48,Homemaker,0.00000,0.00000,0.00000,0.05270,0.30850,0.39560,0.10700,0.06100,0.07520
Shop,Outbound,1,48,Retired,0.00000,0.00000,0.00000,0.06600,0.28880,0.41570,0.09270,0.08430,0.05250
Shop,Outbound,1,48,Driving-age Child,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000
Shop,Outbound,1,48,Pre-Driving Child,0.00000,0.00000,0.00000,0.11310,0.35750,0.31950,0.10310,0.10680,0.00000
Shop,Outbound,1,48,Preschool,0.00000,0.00000,0.00000,0.13660,0.49140,0.31190,0.01760,0.00000,0.04250
Maintenance,Outbound,1,48,FT Worker,0.00000,0.00000,0.00000,0.16060,0.19880,0.36680,0.06610,0.15470,0.05300
Maintenance,Outbound,1,48,PT Worker,0.00000,0.00000,0.00000,0.14550,0.11500,0.36980,0.23880,0.04970,0.08120
