a,parkTaz
      1.00,    462.00
      2.00,    463.00
      3.00,    464.00
      4.00,    465.00
      5.00,    466.00
      6.00,    467.00
      7.00,    599.00
      8.00,    603.00
      9.00,    604.00
     10.00,    605.00
     11.00,    606.00
     12.00,    607.00
     13.00,    608.00
     14.00,    609.00
     15.00,    610.00
     16.00,    611.00
     17.00,    612.00
     18.00,    613.00
     19.00,    614.00
     20.00,    615.00
     21.00,    616.00
     22.00,    617.00
     23.00,    618.00
     24.00,    619.00
     25.00,    620.00
     26.00,    656.00
     27.00,    657.00
     28.00,    658.00
     29.00,    659.00
     30.00,    662.00
     31.00,    663.00
     32.00,    664.00
     33.00,    665.00
     34.00,    666.00
     35.00,    667.00
     36.00,    668.00
     37.00,    669.00
     38.00,    670.00
     39.00,    671.00
     40.00,    672.00
     41.00,    673.00
     42.00,    674.00
     43.00,    675.00
     44.00,    676.00
     45.00,    677.00
     46.00,    678.00
     47.00,    679.00
     48.00,    680.00
     49.00,    681.00
     50.00,    682.00
     51.00,    683.00
     52.00,    684.00
     53.00,    685.00
     54.00,    686.00
     55.00,    688.00
     56.00,    689.00
     57.00,    690.00
     58.00,    691.00
     59.00,    692.00
     60.00,    693.00
     61.00,    694.00
     62.00,    696.00
     63.00,    697.00
     64.00,    698.00
     65.00,    699.00
     66.00,    700.00
     67.00,    701.00
     68.00,    702.00
     69.00,    703.00
     70.00,    704.00
     71.00,    705.00
     72.00,    706.00
     73.00,    707.00
     74.00,    708.00
     75.00,    709.00
     76.00,    710.00
     77.00,    711.00
     78.00,    712.00
     79.00,    713.00
     80.00,    714.00
     81.00,    715.00
     82.00,    716.00
     83.00,    717.00
     84.00,    720.00
     85.00,    721.00
     86.00,    722.00
     87.00,    723.00
     88.00,    724.00
     89.00,    726.00
     90.00,    727.00
     91.00,    728.00
     92.00,    729.00
     93.00,    730.00
     94.00,    731.00
     95.00,    732.00
     96.00,    733.00
     97.00,    734.00
     98.00,    735.00
     99.00,    736.00
    100.00,    737.00
    101.00,    738.00
    102.00,    739.00
    103.00,    740.00
    104.00,    741.00
    105.00,    743.00
    106.00,    745.00
    107.00,    746.00
    108.00,    747.00
    109.00,    749.00
    110.00,    750.00
    111.00,    751.00
    112.00,    752.00
    113.00,    753.00
    114.00,    756.00
    115.00,    757.00
    116.00,    758.00
    117.00,    759.00
    118.00,    760.00
    119.00,    761.00
    120.00,    762.00
    121.00,    763.00
    122.00,    764.00
    123.00,    765.00
    124.00,    767.00
    125.00,    768.00
    126.00,    769.00
    127.00,    770.00
    128.00,    771.00
    129.00,    772.00
    130.00,    773.00
    131.00,    775.00
    132.00,    776.00
    133.00,    790.00
    134.00,    791.00
    135.00,    964.00
