tour_mode,OrigDistName,OrigDist,DestDistName,DestDist,totTrip,HomeDist,HomeDistName,income2,ProdDistName,AttrDistName
9,Atl DeKalb,7,Atl DeKalb,7,1274,NA,NA,NA,NA,NA
9,Atl DeKalb,7,Atlanta,1,696,NA,NA,NA,NA,NA
9,Atl DeKalb,7,Atlanta CBD,0,1306,NA,NA,NA,NA,NA
9,Atl DeKalb,7,Buckhead & SS,2,670,NA,NA,NA,NA,NA
9,Atl DeKalb,7,Cent Gwinnett,16,21,NA,NA,NA,NA,NA
9,Atl DeKalb,7,Chamblee,11,352,NA,NA,NA,NA,NA
9,Atl DeKalb,7,Clayton,18,293,NA,NA,NA,NA,NA
9,Atl DeKalb,7,N Fulton,6,96,NA,NA,NA,NA,NA
9,Atl DeKalb,7,NE DeKalb,10,398,NA,NA,NA,NA,NA
9,Atl DeKalb,7,NW Cen DeKalb,8,750,NA,NA,NA,NA,NA
9,Atl DeKalb,7,NW Cobb,14,14,NA,NA,NA,NA,NA
9,Atl DeKalb,7,S Cobb,12,146,NA,NA,NA,NA,NA
9,Atl DeKalb,7,S DeKalb,9,433,NA,NA,NA,NA,NA
9,Atl DeKalb,7,S Fulton,5,70,NA,NA,NA,NA,NA
9,Atl DeKalb,7,SE Atlanta,3,689,NA,NA,NA,NA,NA
9,Atl DeKalb,7,SE Suburbs,20,12,NA,NA,NA,NA,NA
9,Atl DeKalb,7,SW & Cent Cobb,13,56,NA,NA,NA,NA,NA
9,Atl DeKalb,7,SW Gwinnett,15,44,NA,NA,NA,NA,NA
9,Atl DeKalb,7,SW Suburbs,19,4,NA,NA,NA,NA,NA
9,Atl DeKalb,7,W Atlanta,4,514,NA,NA,NA,NA,NA
9,Atlanta,1,Atl DeKalb,7,775,NA,NA,NA,NA,NA
9,Atlanta,1,Atlanta,1,7466,NA,NA,NA,NA,NA
9,Atlanta,1,Atlanta CBD,0,3002,NA,NA,NA,NA,NA
9,Atlanta,1,Buckhead & SS,2,1529,NA,NA,NA,NA,NA
