"tour_category","summary","agg1","agg2","num"
"Individual Non-Mandatory","ptype_purpose","Pre-school","Discretionary_1",60425
"Individual Non-Mandatory","ptype_purpose","Full-time worker","Discretionary_1",222508
"Individual Non-Mandatory","ptype_purpose","Non-working adult","Discretionary_1",91779
"Individual Non-Mandatory","ptype_purpose","Part-time worker","Discretionary_1",69955
"Individual Non-Mandatory","ptype_purpose","Non-working senior","Discretionary_1",52825
"Individual Non-Mandatory","ptype_purpose","Driving-age student","Discretionary_1",25011
"Individual Non-Mandatory","ptype_purpose","Non-driving student","Discretionary_1",111461
"Individual Non-Mandatory","ptype_purpose","College student","Discretionary_1",23856
"Individual Non-Mandatory","ptype_purpose","Pre-school","Discretionary_2",3554
"Individual Non-Mandatory","ptype_purpose","Full-time worker","Discretionary_2",15784
"Individual Non-Mandatory","ptype_purpose","Non-working adult","Discretionary_2",5123
"Individual Non-Mandatory","ptype_purpose","Part-time worker","Discretionary_2",8526
"Individual Non-Mandatory","ptype_purpose","Non-working senior","Discretionary_2",4954
"Individual Non-Mandatory","ptype_purpose","Driving-age student","Discretionary_2",1718
"Individual Non-Mandatory","ptype_purpose","Non-driving student","Discretionary_2",19736
"Individual Non-Mandatory","ptype_purpose","College student","Discretionary_2",1128
"Individual Non-Mandatory","ptype_purpose","Pre-school","EatOut_1",14420
"Individual Non-Mandatory","ptype_purpose","Full-time worker","EatOut_1",97310
"Individual Non-Mandatory","ptype_purpose","Non-working adult","EatOut_1",33089
"Individual Non-Mandatory","ptype_purpose","Part-time worker","EatOut_1",23327
"Individual Non-Mandatory","ptype_purpose","Non-working senior","EatOut_1",18487
"Individual Non-Mandatory","ptype_purpose","Driving-age student","EatOut_1",4848
"Individual Non-Mandatory","ptype_purpose","Non-driving student","EatOut_1",19350
"Individual Non-Mandatory","ptype_purpose","College student","EatOut_1",11262
"Individual Non-Mandatory","ptype_purpose","Pre-school","EatOut_2",367
"Individual Non-Mandatory","ptype_purpose","Full-time worker","EatOut_2",1445
"Individual Non-Mandatory","ptype_purpose","Non-working adult","EatOut_2",324
"Individual Non-Mandatory","ptype_purpose","Part-time worker","EatOut_2",489
"Individual Non-Mandatory","ptype_purpose","Non-working senior","EatOut_2",258
"Individual Non-Mandatory","ptype_purpose","Driving-age student","EatOut_2",129
"Individual Non-Mandatory","ptype_purpose","Non-driving student","EatOut_2",116
"Individual Non-Mandatory","ptype_purpose","College student","EatOut_2",251
"Individual Non-Mandatory","ptype_purpose","Pre-school","Escorting_1",28522
"Individual Non-Mandatory","ptype_purpose","Full-time worker","Escorting_1",129999
"Individual Non-Mandatory","ptype_purpose","Non-working adult","Escorting_1",62610
"Individual Non-Mandatory","ptype_purpose","Part-time worker","Escorting_1",38861
"Individual Non-Mandatory","ptype_purpose","Non-working senior","Escorting_1",19141
"Individual Non-Mandatory","ptype_purpose","Driving-age student","Escorting_1",8254
"Individual Non-Mandatory","ptype_purpose","Non-driving student","Escorting_1",37425
"Individual Non-Mandatory","ptype_purpose","College student","Escorting_1",21364
"Individual Non-Mandatory","ptype_purpose","Pre-school","Escorting_2",29794
"Individual Non-Mandatory","ptype_purpose","Full-time worker","Escorting_2",48738
"Individual Non-Mandatory","ptype_purpose","Non-working adult","Escorting_2",67926
"Individual Non-Mandatory","ptype_purpose","Part-time worker","Escorting_2",25705
"Individual Non-Mandatory","ptype_purpose","Non-working senior","Escorting_2",11120
"Individual Non-Mandatory","ptype_purpose","Driving-age student","Escorting_2",1911
"Individual Non-Mandatory","ptype_purpose","Non-driving student","Escorting_2",4968
"Individual Non-Mandatory","ptype_purpose","College student","Escorting_2",9324
"Individual Non-Mandatory","ptype_purpose","Pre-school","Maintenance_1",44802
"Individual Non-Mandatory","ptype_purpose","Full-time worker","Maintenance_1",173804
"Individual Non-Mandatory","ptype_purpose","Non-working adult","Maintenance_1",147505
"Individual Non-Mandatory","ptype_purpose","Part-time worker","Maintenance_1",56334
"Individual Non-Mandatory","ptype_purpose","Non-working senior","Maintenance_1",69984
"Individual Non-Mandatory","ptype_purpose","Driving-age student","Maintenance_1",11223
"Individual Non-Mandatory","ptype_purpose","Non-driving student","Maintenance_1",53913
"Individual Non-Mandatory","ptype_purpose","College student","Maintenance_1",21212
"Individual Non-Mandatory","ptype_purpose","Pre-school","Maintenance_2",3788
"Individual Non-Mandatory","ptype_purpose","Full-time worker","Maintenance_2",14973
"Individual Non-Mandatory","ptype_purpose","Non-working adult","Maintenance_2",15337
"Individual Non-Mandatory","ptype_purpose","Part-time worker","Maintenance_2",4973
"Individual Non-Mandatory","ptype_purpose","Non-working senior","Maintenance_2",9083
"Individual Non-Mandatory","ptype_purpose","Driving-age student","Maintenance_2",1239
"Individual Non-Mandatory","ptype_purpose","Non-driving student","Maintenance_2",1839
"Individual Non-Mandatory","ptype_purpose","College student","Maintenance_2",759
"Individual Non-Mandatory","ptype_purpose","Pre-school","Shopping_1",40302
"Individual Non-Mandatory","ptype_purpose","Full-time worker","Shopping_1",212009
