"TourType","SummaryType","Category","Statistic","Period","numTour"
"Mandatory","Purpose","School","Depart",1,1010
"Mandatory","Purpose","School","Depart",2,631
"Mandatory","Purpose","School","Depart",3,402
"Mandatory","Purpose","School","Depart",4,239
"Mandatory","Purpose","School","Depart",5,167
"Mandatory","Purpose","School","Depart",6,104
"Mandatory","Purpose","School","Depart",7,28726
"Mandatory","Purpose","School","Depart",8,126211
"Mandatory","Purpose","School","Depart",9,313236
"Mandatory","Purpose","School","Depart",10,337670
"Mandatory","Purpose","School","Depart",11,168343
"Mandatory","Purpose","School","Depart",12,41827
"Mandatory","Purpose","School","Depart",13,19612
"Mandatory","Purpose","School","Depart",14,10618
"Mandatory","Purpose","School","Depart",15,6708
"Mandatory","Purpose","School","Depart",16,4718
"Mandatory","Purpose","School","Depart",17,3444
"Mandatory","Purpose","School","Depart",18,2424
"Mandatory","Purpose","School","Depart",19,1889
"Mandatory","Purpose","School","Depart",20,1329
"Mandatory","Purpose","School","Depart",21,992
"Mandatory","Purpose","School","Depart",22,743
"Mandatory","Purpose","School","Depart",23,595
"Mandatory","Purpose","School","Depart",24,924
"Mandatory","Purpose","School","Depart",25,1004
"Mandatory","Purpose","School","Depart",26,1080
"Mandatory","Purpose","School","Depart",27,1192
"Mandatory","Purpose","School","Depart",28,1012
"Mandatory","Purpose","School","Depart",29,867
"Mandatory","Purpose","School","Depart",30,741
"Mandatory","Purpose","School","Depart",31,712
"Mandatory","Purpose","School","Depart",32,575
"Mandatory","Purpose","School","Depart",33,374
"Mandatory","Purpose","School","Depart",34,235
"Mandatory","Purpose","School","Depart",35,130
"Mandatory","Purpose","School","Depart",36,91
"Mandatory","Purpose","School","Depart",37,71
"Mandatory","Purpose","School","Depart",38,41
"Mandatory","Purpose","School","Depart",39,34
"Mandatory","Purpose","School","Depart",40,20
"Mandatory","Purpose","School","Depart",41,12
"Mandatory","Purpose","School","Depart",42,6
"Mandatory","Purpose","School","Depart",43,6
"Mandatory","Purpose","School","Depart",44,5
"Mandatory","Purpose","School","Depart",45,3
"Mandatory","Purpose","University","Depart",1,260
"Mandatory","Purpose","University","Depart",2,242
"Mandatory","Purpose","University","Depart",3,199
"Mandatory","Purpose","University","Depart",4,394
"Mandatory","Purpose","University","Depart",5,662
"Mandatory","Purpose","University","Depart",6,1228
"Mandatory","Purpose","University","Depart",7,2661
"Mandatory","Purpose","University","Depart",8,5247
"Mandatory","Purpose","University","Depart",9,11481
"Mandatory","Purpose","University","Depart",10,6648
"Mandatory","Purpose","University","Depart",11,11466
"Mandatory","Purpose","University","Depart",12,6942
"Mandatory","Purpose","University","Depart",13,7486
"Mandatory","Purpose","University","Depart",14,4755
"Mandatory","Purpose","University","Depart",15,4000
"Mandatory","Purpose","University","Depart",16,3772
"Mandatory","Purpose","University","Depart",17,3450
"Mandatory","Purpose","University","Depart",18,3049
"Mandatory","Purpose","University","Depart",19,2750
"Mandatory","Purpose","University","Depart",20,2600
"Mandatory","Purpose","University","Depart",21,2364
"Mandatory","Purpose","University","Depart",22,2339
"Mandatory","Purpose","University","Depart",23,1969
"Mandatory","Purpose","University","Depart",24,1767
"Mandatory","Purpose","University","Depart",25,1513
"Mandatory","Purpose","University","Depart",26,1483
"Mandatory","Purpose","University","Depart",27,1251
"Mandatory","Purpose","University","Depart",28,1125
"Mandatory","Purpose","University","Depart",29,1017
"Mandatory","Purpose","University","Depart",30,968
"Mandatory","Purpose","University","Depart",31,844
"Mandatory","Purpose","University","Depart",32,701
"Mandatory","Purpose","University","Depart",33,556
"Mandatory","Purpose","University","Depart",34,535
"Mandatory","Purpose","University","Depart",35,416
"Mandatory","Purpose","University","Depart",36,300
"Mandatory","Purpose","University","Depart",37,274
"Mandatory","Purpose","University","Depart",38,243
"Mandatory","Purpose","University","Depart",39,137
"Mandatory","Purpose","University","Depart",40,67
"Mandatory","Purpose","University","Depart",41,86
"Mandatory","Purpose","University","Depart",42,58
"Mandatory","Purpose","University","Depart",43,10
"Mandatory","Purpose","University","Depart",44,6
"Mandatory","Purpose","Work","Depart",1,4726
"Mandatory","Purpose","Work","Depart",2,7427
"Mandatory","Purpose","Work","Depart",3,12913
"Mandatory","Purpose","Work","Depart",4,23318
"Mandatory","Purpose","Work","Depart",5,44673
"Mandatory","Purpose","Work","Depart",6,90383
"Mandatory","Purpose","Work","Depart",7,148359
"Mandatory","Purpose","Work","Depart",8,224453
"Mandatory","Purpose","Work","Depart",9,291131
"Mandatory","Purpose","Work","Depart",10,264074
"Mandatory","Purpose","Work","Depart",11,192243
"Mandatory","Purpose","Work","Depart",12,133296
"Mandatory","Purpose","Work","Depart",13,88482
"Mandatory","Purpose","Work","Depart",14,52870
"Mandatory","Purpose","Work","Depart",15,41281
"Mandatory","Purpose","Work","Depart",16,33641
"Mandatory","Purpose","Work","Depart",17,29223
"Mandatory","Purpose","Work","Depart",18,25654
"Mandatory","Purpose","Work","Depart",19,23237
"Mandatory","Purpose","Work","Depart",20,21753
"Mandatory","Purpose","Work","Depart",21,20609
"Mandatory","Purpose","Work","Depart",22,19780
"Mandatory","Purpose","Work","Depart",23,17122
"Mandatory","Purpose","Work","Depart",24,15229
"Mandatory","Purpose","Work","Depart",25,13159
"Mandatory","Purpose","Work","Depart",26,11647
"Mandatory","Purpose","Work","Depart",27,10455
"Mandatory","Purpose","Work","Depart",28,9377
"Mandatory","Purpose","Work","Depart",29,8238
"Mandatory","Purpose","Work","Depart",30,7044
"Mandatory","Purpose","Work","Depart",31,5860
"Mandatory","Purpose","Work","Depart",32,4609
"Mandatory","Purpose","Work","Depart",33,3951
"Mandatory","Purpose","Work","Depart",34,2926
