"TourType","Purpose","bin","num"
"Individual Non-Mandatory","Discretionary",0,48003
"Individual Non-Mandatory","Discretionary",1,57788
"Individual Non-Mandatory","Discretionary",2,55566
"Individual Non-Mandatory","Discretionary",3,52607
"Individual Non-Mandatory","Discretionary",4,58605
"Individual Non-Mandatory","Discretionary",5,27768
"Individual Non-Mandatory","Discretionary",6,23780
"Individual Non-Mandatory","Discretionary",7,20699
"Individual Non-Mandatory","Discretionary",8,17279
"Individual Non-Mandatory","Discretionary",9,14935
"Individual Non-Mandatory","Discretionary",10,12670
"Individual Non-Mandatory","Discretionary",11,10762
"Individual Non-Mandatory","Discretionary",12,9042
"Individual Non-Mandatory","Discretionary",13,7676
"Individual Non-Mandatory","Discretionary",14,6490
"Individual Non-Mandatory","Discretionary",15,5616
"Individual Non-Mandatory","Discretionary",16,4695
"Individual Non-Mandatory","Discretionary",17,3992
"Individual Non-Mandatory","Discretionary",18,3424
"Individual Non-Mandatory","Discretionary",19,2895
"Individual Non-Mandatory","Discretionary",20,2540
"Individual Non-Mandatory","Discretionary",21,2163
"Individual Non-Mandatory","Discretionary",22,1871
"Individual Non-Mandatory","Discretionary",23,1591
"Individual Non-Mandatory","Discretionary",24,1402
"Individual Non-Mandatory","Discretionary",25,1274
"Individual Non-Mandatory","Discretionary",26,1165
"Individual Non-Mandatory","Discretionary",27,969
"Individual Non-Mandatory","Discretionary",28,908
"Individual Non-Mandatory","Discretionary",29,798
"Individual Non-Mandatory","Discretionary",30,767
"Individual Non-Mandatory","Discretionary",31,687
"Individual Non-Mandatory","Discretionary",32,672
"Individual Non-Mandatory","Discretionary",33,563
"Individual Non-Mandatory","Discretionary",34,562
"Individual Non-Mandatory","Discretionary",35,534
"Individual Non-Mandatory","Discretionary",36,465
"Individual Non-Mandatory","Discretionary",37,441
"Individual Non-Mandatory","Discretionary",38,369
"Individual Non-Mandatory","Discretionary",39,357
"Individual Non-Mandatory","Discretionary",40,321
"Individual Non-Mandatory","Discretionary",41,269
"Individual Non-Mandatory","Discretionary",42,239
"Individual Non-Mandatory","Discretionary",43,215
"Individual Non-Mandatory","Discretionary",44,190
"Individual Non-Mandatory","Discretionary",45,156
