"TourType","Purpose","nstops","num"
"Mandatory","School","0 out 0 in",802357
"Mandatory","School","0 out 1 in",111102
"Mandatory","School","0 out 2 in",44328
"Mandatory","School","0 out 3 in",19455
"Mandatory","School","1 out 0 in",43883
"Mandatory","School","1 out 1 in",30898
"Mandatory","School","1 out 2 in",5415
"Mandatory","School","1 out 3 in",3500
"Mandatory","School","2 out 0 in",5172
"Mandatory","School","2 out 1 in",3843
"Mandatory","School","2 out 2 in",3422
"Mandatory","School","2 out 3 in",4698
"Mandatory","School","3 out 0 in",1005
"Mandatory","School","3 out 1 in",78
"Mandatory","School","3 out 2 in",246
"Mandatory","School","3 out 3 in",1371
"Mandatory","University","0 out 0 in",68679
"Mandatory","University","0 out 1 in",15984
"Mandatory","University","1 out 0 in",8335
"Mandatory","University","1 out 1 in",6323
"Mandatory","Work","0 out 0 in",980380
"Mandatory","Work","0 out 1 in",310050
"Mandatory","Work","0 out 2 in",96697
"Mandatory","Work","0 out 3 in",60867
"Mandatory","Work","1 out 0 in",146456
"Mandatory","Work","1 out 1 in",105244
"Mandatory","Work","1 out 2 in",44141
"Mandatory","Work","1 out 3 in",23181
"Mandatory","Work","2 out 0 in",38560
"Mandatory","Work","2 out 1 in",29677
"Mandatory","Work","2 out 2 in",15892
"Mandatory","Work","2 out 3 in",8298
"Mandatory","Work","3 out 0 in",21401
"Mandatory","Work","3 out 1 in",13789
"Mandatory","Work","3 out 2 in",9474
"Mandatory","Work","3 out 3 in",8079
"Individual Non-Mandatory","Discretionary","0 out 0 in",294695
"Individual Non-Mandatory","Discretionary","0 out 1 in",66853
"Individual Non-Mandatory","Discretionary","0 out 2 in",13991
"Individual Non-Mandatory","Discretionary","0 out 3 in",6163
"Individual Non-Mandatory","Discretionary","1 out 0 in",38785
"Individual Non-Mandatory","Discretionary","1 out 1 in",18680
"Individual Non-Mandatory","Discretionary","1 out 2 in",5376
"Individual Non-Mandatory","Discretionary","1 out 3 in",2091
"Individual Non-Mandatory","Discretionary","2 out 0 in",7343
"Individual Non-Mandatory","Discretionary","2 out 1 in",3915
"Individual Non-Mandatory","Discretionary","2 out 2 in",696
"Individual Non-Mandatory","Discretionary","2 out 3 in",1308
"Individual Non-Mandatory","Discretionary","3 out 0 in",4634
"Individual Non-Mandatory","Discretionary","3 out 1 in",1668
"Individual Non-Mandatory","Discretionary","3 out 2 in",203
"Individual Non-Mandatory","Discretionary","3 out 3 in",506
"Individual Non-Mandatory","EatOut","0 out 0 in",61406
"Individual Non-Mandatory","EatOut","0 out 1 in",10019
"Individual Non-Mandatory","EatOut","0 out 2 in",1742
"Individual Non-Mandatory","EatOut","0 out 3 in",790
"Individual Non-Mandatory","EatOut","1 out 0 in",12530
"Individual Non-Mandatory","EatOut","1 out 1 in",6202
"Individual Non-Mandatory","EatOut","1 out 2 in",550
"Individual Non-Mandatory","EatOut","1 out 3 in",54
"Individual Non-Mandatory","EatOut","2 out 0 in",2174
"Individual Non-Mandatory","EatOut","2 out 1 in",827
"Individual Non-Mandatory","EatOut","2 out 2 in",445
"Individual Non-Mandatory","EatOut","2 out 3 in",287
"Individual Non-Mandatory","EatOut","3 out 0 in",1055
"Individual Non-Mandatory","EatOut","3 out 1 in",266
"Individual Non-Mandatory","EatOut","3 out 2 in",162
"Individual Non-Mandatory","EatOut","3 out 3 in",23
"Individual Non-Mandatory","Escorting","0 out 0 in",556657
"Individual Non-Mandatory","Escorting","0 out 1 in",85514
"Individual Non-Mandatory","Escorting","0 out 2 in",20977
"Individual Non-Mandatory","Escorting","0 out 3 in",10382
"Individual Non-Mandatory","Escorting","1 out 0 in",45484
"Individual Non-Mandatory","Escorting","1 out 1 in",17604
"Individual Non-Mandatory","Escorting","1 out 2 in",5434
"Individual Non-Mandatory","Escorting","1 out 3 in",3320
"Individual Non-Mandatory","Escorting","2 out 0 in",18258
"Individual Non-Mandatory","Escorting","2 out 1 in",1298
"Individual Non-Mandatory","Escorting","2 out 2 in",1041
"Individual Non-Mandatory","Escorting","2 out 3 in",485
"Individual Non-Mandatory","Escorting","3 out 0 in",11203
"Individual Non-Mandatory","Escorting","3 out 1 in",1620
"Individual Non-Mandatory","Escorting","3 out 2 in",34
"Individual Non-Mandatory","Escorting","3 out 3 in",220
"Individual Non-Mandatory","Maintenance","0 out 0 in",227177
"Individual Non-Mandatory","Maintenance","0 out 1 in",68951
"Individual Non-Mandatory","Maintenance","0 out 2 in",25172
"Individual Non-Mandatory","Maintenance","0 out 3 in",20084
"Individual Non-Mandatory","Maintenance","1 out 0 in",31763
"Individual Non-Mandatory","Maintenance","1 out 1 in",14176
"Individual Non-Mandatory","Maintenance","1 out 2 in",6877
"Individual Non-Mandatory","Maintenance","1 out 3 in",8566
"Individual Non-Mandatory","Maintenance","2 out 0 in",15147
"Individual Non-Mandatory","Maintenance","2 out 1 in",7124
"Individual Non-Mandatory","Maintenance","2 out 2 in",1541
"Individual Non-Mandatory","Maintenance","2 out 3 in",1252
"Individual Non-Mandatory","Maintenance","3 out 0 in",6884
"Individual Non-Mandatory","Maintenance","3 out 1 in",2487
"Individual Non-Mandatory","Maintenance","3 out 2 in",1585
"Individual Non-Mandatory","Maintenance","3 out 3 in",2535
"Individual Non-Mandatory","Shopping","0 out 0 in",228002
"Individual Non-Mandatory","Shopping","0 out 1 in",63853
