"tour_category","tourpurp","bin","num"
"MANDATORY","School",-1,8521
"MANDATORY","School",0,129875
"MANDATORY","School",1,74613
"MANDATORY","School",2,67983
"MANDATORY","School",3,59914
"MANDATORY","School",4,42261
"MANDATORY","School",5,26116
"MANDATORY","School",6,14307
"MANDATORY","School",7,7904
"MANDATORY","School",8,4902
"MANDATORY","School",9,3496
"MANDATORY","School",10,2774
"MANDATORY","School",11,2337
"MANDATORY","School",12,2043
"MANDATORY","School",13,1677
"MANDATORY","School",14,1442
"MANDATORY","School",15,1334
"MANDATORY","School",16,1177
"MANDATORY","School",17,1168
"MANDATORY","School",18,1069
"MANDATORY","School",19,969
"MANDATORY","School",20,893
"MANDATORY","School",21,905
"MANDATORY","School",22,847
"MANDATORY","School",23,840
"MANDATORY","School",24,726
"MANDATORY","School",25,705
"MANDATORY","School",26,604
"MANDATORY","School",27,666
"MANDATORY","School",28,556
"MANDATORY","School",29,516
"MANDATORY","School",30,430
"MANDATORY","School",31,380
"MANDATORY","School",32,321
"MANDATORY","School",33,261
"MANDATORY","School",34,250
"MANDATORY","School",35,201
"MANDATORY","School",36,162
"MANDATORY","School",37,146
"MANDATORY","School",38,114
"MANDATORY","School",39,74
"MANDATORY","School",40,77
"MANDATORY","School",41,58
"MANDATORY","School",42,48
"MANDATORY","School",43,43
"MANDATORY","School",44,20
"MANDATORY","School",45,23
"MANDATORY","School",46,22
"MANDATORY","School",47,22
"MANDATORY","School",48,16
"MANDATORY","School",49,10
"MANDATORY","School",50,11
"MANDATORY","School",51,9
"MANDATORY","School",52,6
"MANDATORY","School",53,6
"MANDATORY","School",54,3
"MANDATORY","School",55,3
"MANDATORY","School",56,2
"MANDATORY","School",57,1
"MANDATORY","School",58,2
"MANDATORY","School",59,4
"MANDATORY","School",60,3
"MANDATORY","School",61,1
"MANDATORY","School",62,1
"MANDATORY","School",63,2
"MANDATORY","School",64,1
"MANDATORY","School",65,2
"MANDATORY","School",66,1
"MANDATORY","School",67,3
"MANDATORY","School",68,1
"MANDATORY","School",69,1
"MANDATORY","University",-1,3287
"MANDATORY","University",0,13134
"MANDATORY","University",1,5621
"MANDATORY","University",2,2968
"MANDATORY","University",3,2078
"MANDATORY","University",4,1568
"MANDATORY","University",5,1329
"MANDATORY","University",6,1061
"MANDATORY","University",7,861
"MANDATORY","University",8,721
"MANDATORY","University",9,671
"MANDATORY","University",10,562
"MANDATORY","University",11,456
"MANDATORY","University",12,353
"MANDATORY","University",13,345
"MANDATORY","University",14,287
"MANDATORY","University",15,237
"MANDATORY","University",16,208
"MANDATORY","University",17,167
"MANDATORY","University",18,147
"MANDATORY","University",19,129
"MANDATORY","University",20,126
"MANDATORY","University",21,95
"MANDATORY","University",22,85
"MANDATORY","University",23,83
"MANDATORY","University",24,60
"MANDATORY","University",25,62
"MANDATORY","University",26,53
"MANDATORY","University",27,35
