TourCat,auto_suff,ModeABM,totTours
At-Work Subtours,0 Auto,Shared 2,3540
At-Work Subtours,0 Auto,Walk,5572
At-Work Subtours,0 Auto,Wlk AllTrn,1094
At-Work Subtours,0 Auto,Wlk PremOnly,297
At-Work Subtours,Autos <  Workers,Bike,1409
At-Work Subtours,Autos <  Workers,Drive Alone,26511
At-Work Subtours,Autos <  Workers,Shared 2,31299
At-Work Subtours,Autos <  Workers,Shared 3+,3292
At-Work Subtours,Autos <  Workers,Walk,21008
At-Work Subtours,Autos <  Workers,Wlk AllTrn,667
At-Work Subtours,Autos <  Workers,Wlk PremOnly,295
At-Work Subtours,Autos >= Workers,Bike,349
At-Work Subtours,Autos >= Workers,Drive Alone,432026
At-Work Subtours,Autos >= Workers,Shared 2,100755
At-Work Subtours,Autos >= Workers,Shared 3+,56295
At-Work Subtours,Autos >= Workers,Walk,51718
At-Work Subtours,Autos >= Workers,Wlk AllTrn,540
At-Work Subtours,Autos >= Workers,Wlk PremOnly,1076
Individual Non-mandatory Tours,0 Auto,Bike,2652
Individual Non-mandatory Tours,0 Auto,KNR AllTrn,1552
Individual Non-mandatory Tours,0 Auto,KNR PremOnly,354
Individual Non-mandatory Tours,0 Auto,Shared 2,30644
Individual Non-mandatory Tours,0 Auto,Shared 3+,9843
Individual Non-mandatory Tours,0 Auto,Walk,29025
Individual Non-mandatory Tours,0 Auto,Wlk AllTrn,13219
Individual Non-mandatory Tours,0 Auto,Wlk PremOnly,1609
Individual Non-mandatory Tours,Autos <  Workers,Bike,1117
Individual Non-mandatory Tours,Autos <  Workers,Drive Alone,65171
Individual Non-mandatory Tours,Autos <  Workers,KNR AllTrn,496
Individual Non-mandatory Tours,Autos <  Workers,KNR PremOnly,473
Individual Non-mandatory Tours,Autos <  Workers,PNR PremOnly,176
Individual Non-mandatory Tours,Autos <  Workers,Shared 2,73735
Individual Non-mandatory Tours,Autos <  Workers,Shared 3+,41002
Individual Non-mandatory Tours,Autos <  Workers,Walk,10722
Individual Non-mandatory Tours,Autos <  Workers,Wlk AllTrn,2574
Individual Non-mandatory Tours,Autos <  Workers,Wlk PremOnly,429
Individual Non-mandatory Tours,Autos >= Workers,Bike,10151
Individual Non-mandatory Tours,Autos >= Workers,Drive Alone,991792
