County,Work,Non-Work,Work,Non-Work,Work,Non-Work
Barrow,2450,11580,2280,9730,-170,-1850
Bartow,4190,19800,2540,9650,-1650,-10150
Carroll,4250,20080,3870,14860,-380,-5220
Cherokee,1770,8350,3230,11820,1460,3470
Clayton,2100,9910,2050,7410,-50,-2500
Cobb,3000,14160,3390,12520,390,-1640
Coweta,2770,13090,2840,10710,70,-2380
Dawson,1010,4760,1050,4420,40,-340
DeKalb,2230,10550,2390,13070,160,2520
Douglas,1040,4900,1450,4880,410,-20
Fayette,960,4520,1350,4020,390,-500
Forsyth,1150,5440,1990,7040,840,1600
Fulton,4950,23360,4880,22010,-70,-1350
Gwinnett,4610,21750,9000,41400,4390,19650
Hall,4940,23320,6080,23660,1140,340
Henry,4090,19290,3550,14270,-540,-5020
Newton,1510,7140,2310,8960,800,1820
Paulding,1290,6080,1430,4790,140,-1290
Rockdale,630,2980,1480,4910,850,1930
Spalding,3360,15860,2370,8760,-990,-7100
Walton,1540,7250,1670,6080,130,-1170
Total,53840,254170,61200,244970,7360,-9200
