Facility Type,NAME,ATYPE1,ATYPE2,ATYPE3,ATYPE4,ATYPE5,ATYPE6,ATYPE7
0,centroid connector,7,11,11,11,11,14,14
1,interstate/freeway,62,63,63,63,64,65,66
2,expressway,43,46,49,52,55,58,61
3,parkway,43,46,49,52,55,58,61
4,freeway HOV (concurrent),64,65,65,65,66,67,68
5,freeway HOV (barrier separated),64,65,65,65,66,67,68
6,freeway truck only,62,63,63,63,64,65,66
7,system to system ramp,50,50,50,55,55,55,55
8,exit ramp,35,35,35,35,35,35,35
9,entrance ramp,35,35,35,35,35,35,35
10,principal arterial,23,26,31,35,41,48,53
11,minor arterial,21,26,29,33,38,43,48
12,arterial HOV,21,26,29,33,38,43,48
13,arterial truck only,21,26,29,33,38,43,48
14,collector,17,23,24,26,30,35,45
