Person Type,Number of Mandatory Tours,Number of Joint Tours,Individual Discretionary Tour Purpose,0,1,2
1,0,0,1,83.0%,100.0%,100.0%
2,0,0,1,76.9%,100.0%,100.0%
3,0,0,1,89.4%,100.0%,100.0%
4,0,0,1,75.0%,100.0%,100.0%
5,0,0,1,84.2%,100.0%,100.0%
6,0,0,1,71.4%,100.0%,100.0%
7,0,0,1,81.5%,100.0%,100.0%
8,0,0,1,75.0%,100.0%,100.0%
1,1,0,1,78.9%,100.0%,100.0%
2,1,0,1,60.0%,100.0%,100.0%
5,1,0,1,82.6%,100.0%,100.0%
6,1,0,1,83.7%,100.0%,100.0%
7,1,0,1,60.0%,100.0%,100.0%
1,0,1,1,84.2%,100.0%,100.0%
5,1,1,1,77.8%,100.0%,100.0%
1,0,0,2,89.3%,99.1%,100.0%
2,0,0,2,84.1%,99.3%,100.0%
3,0,0,2,97.1%,100.0%,100.0%
4,0,0,2,97.0%,100.0%,100.0%
5,0,0,2,87.0%,99.4%,100.0%
6,0,0,2,86.7%,100.0%,100.0%
7,0,0,2,97.1%,100.0%,100.0%
8,0,0,2,93.1%,100.0%,100.0%
1,1,0,2,88.5%,100.0%,100.0%
2,1,0,2,72.7%,100.0%,100.0%
3,1,0,2,97.1%,100.0%,100.0%
5,1,0,2,89.6%,99.3%,100.0%
6,1,0,2,88.5%,100.0%,100.0%
1,0,1,2,91.0%,99.3%,100.0%
2,0,1,2,88.0%,100.0%,100.0%
3,0,1,2,80.0%,100.0%,100.0%
6,1,1,2,96.5%,100.0%,100.0%
8,1,1,2,88.9%,100.0%,100.0%
1,0,0,3,93.6%,99.8%,100.0%
2,0,0,3,90.6%,100.0%,100.0%
3,0,0,3,97.9%,100.0%,100.0%
4,0,0,3,92.9%,100.0%,100.0%
5,0,0,3,90.2%,99.2%,100.0%
6,0,0,3,86.4%,100.0%,100.0%
7,0,0,3,94.7%,100.0%,100.0%
8,0,0,3,91.3%,100.0%,100.0%
1,1,0,3,89.3%,98.7%,100.0%
4,1,0,3,85.7%,100.0%,100.0%
5,1,0,3,91.6%,99.6%,100.0%
6,1,0,3,85.6%,98.4%,100.0%
7,1,0,3,100.0%,100.0%,100.0%
8,1,0,3,100.0%,100.0%,100.0%
1,0,1,3,91.6%,99.2%,100.0%
2,0,1,3,91.2%,98.2%,100.0%
6,0,1,3,83.3%,100.0%,100.0%
7,0,1,3,96.2%,100.0%,100.0%
1,1,1,3,97.8%,98.9%,100.0%
2,1,1,3,97.3%,100.0%,100.0%
5,1,1,3,99.6%,100.0%,100.0%
6,1,1,3,92.2%,98.0%,100.0%
1,0,0,4,92.2%,99.6%,100.0%
2,0,0,4,90.1%,100.0%,100.0%
3,0,0,4,99.7%,100.0%,100.0%
4,0,0,4,99.1%,100.0%,100.0%
5,0,0,4,92.2%,98.0%,100.0%
6,0,0,4,95.5%,100.0%,100.0%
8,0,0,4,95.5%,100.0%,100.0%
1,1,0,4,94.1%,97.1%,100.0%
2,1,0,4,92.6%,100.0%,100.0%
4,1,0,4,87.5%,100.0%,100.0%
5,1,0,4,91.5%,100.0%,100.0%
6,1,0,4,94.8%,99.4%,100.0%
7,1,0,4,66.7%,100.0%,100.0%
1,0,1,4,92.6%,98.8%,100.0%
2,0,1,4,90.4%,100.0%,100.0%
2,1,1,4,91.1%,100.0%,100.0%
6,1,1,4,96.3%,100.0%,100.0%
1,0,0,5,97.7%,100.0%,100.0%
2,0,0,5,98.2%,100.0%,100.0%
3,0,0,5,98.6%,100.0%,100.0%
8,0,0,5,87.5%,100.0%,100.0%
3,1,0,5,96.4%,100.0%,100.0%
5,1,0,5,98.6%,100.0%,100.0%
6,1,0,5,95.2%,100.0%,100.0%
1,0,1,5,92.7%,100.0%,100.0%
2,0,1,5,94.1%,100.0%,100.0%
3,1,1,5,97.3%,100.0%,100.0%
6,1,1,5,93.3%,100.0%,100.0%
1,0,0,6,93.8%,98.9%,100.0%
2,0,0,6,88.9%,100.0%,100.0%
3,0,0,6,96.7%,99.8%,100.0%
4,0,0,6,94.2%,100.0%,100.0%
5,0,0,6,88.0%,100.0%,100.0%
6,0,0,6,92.6%,100.0%,100.0%
7,0,0,6,96.8%,100.0%,100.0%
8,0,0,6,90.6%,100.0%,100.0%
1,1,0,6,85.9%,100.0%,100.0%
2,1,0,6,81.8%,97.0%,100.0%
4,1,0,6,95.2%,100.0%,100.0%
5,1,0,6,87.9%,99.8%,100.0%
6,1,0,6,86.3%,98.5%,100.0%
7,1,0,6,90.0%,100.0%,100.0%
1,0,1,6,92.8%,99.7%,100.0%
2,0,1,6,85.9%,99.2%,100.0%
5,0,1,6,92.0%,100.0%,100.0%
7,0,1,6,90.5%,100.0%,100.0%
1,1,1,6,98.3%,100.0%,100.0%
2,1,1,6,92.8%,98.8%,100.0%
3,1,1,6,98.3%,100.0%,100.0%
4,1,1,6,93.9%,100.0%,100.0%
6,1,1,6,93.8%,100.0%,100.0%
