zone,construc,manufac,TCU,wholesl,retail,FIRE,service,private,govt,emp,pop,hshld,univ,acres,otherEmp,district,PARKTOT,PARKLNG,PROPFREE,PARKRATE,areatype,county,CBDFlag,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92
      1.00,      1.00,         0,         0,      2.00,         0,         0,     59.00,     62.00,         0,     62.00,    622.00,    221.00,         0,    155.00,      3.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      1.00,         0,      2.00,         0,         0,         0,         0,         0,      6.00,         0,      5.00,      1.00,         0,         0,         0,     47.00,         0
      2.00,     17.00,         0,      1.00,      9.00,     12.00,      7.00,    104.00,    150.00,         0,    150.00,   1628.00,    557.00,         0,    518.00,     34.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,     17.00,         0,      9.00,     12.00,         0,      1.00,      6.00,      1.00,     43.00,         0,     11.00,     15.00,     34.00,      1.00,         0,         0,         0
      3.00,      6.00,         0,      4.00,      9.00,    767.00,     25.00,    330.00,   1141.00,     13.00,   1154.00,   4112.00,   1474.00,         0,   2146.00,     57.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      6.00,         0,      9.00,    499.00,         0,      4.00,     19.00,      6.00,     19.00,      1.00,     45.00,    168.00,      4.00,     76.00,    268.00,     17.00,     13.00
      4.00,      5.00,         0,         0,     13.00,         0,     10.00,     34.00,     62.00,         0,     62.00,   2622.00,    812.00,         0,    683.00,     28.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      5.00,         0,     13.00,         0,         0,         0,      7.00,      3.00,     25.00,         0,      4.00,         0,      1.00,      1.00,         0,      3.00,         0
      5.00,      5.00,         0,         0,      4.00,    141.00,     27.00,     49.00,    226.00,         0,    226.00,   2109.00,    610.00,         0,    359.00,     36.00,      1.00,         0,         0,         0,         0,      4.00,      1.00,         0,         0,         0,         0,      5.00,         0,      4.00,         0,         0,         0,     27.00,         0,     22.00,      1.00,     18.00,      2.00,      1.00,         0,    141.00,      5.00,         0
      6.00,      5.00,     16.00,         0,         0,     35.00,      8.00,     44.00,    108.00,         0,    108.00,      7.00,      1.00,         0,     21.00,     29.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,      5.00,     16.00,         0,     24.00,         0,         0,      8.00,         0,     20.00,      1.00,      4.00,         0,         0,         0,     11.00,     19.00,         0
      7.00,      6.00,      7.00,     17.00,      1.00,    440.00,      3.00,    142.00,    616.00,         0,    616.00,   1600.00,    666.00,         0,    434.00,     34.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,      6.00,      7.00,      1.00,    270.00,         0,     17.00,      3.00,         0,      4.00,         0,     20.00,         0,    111.00,      2.00,    170.00,      5.00,         0
      8.00,     14.00,         0,         0,      7.00,      1.00,      4.00,     23.00,     49.00,         0,     49.00,    933.00,    360.00,         0,    496.00,     25.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,     14.00,         0,      7.00,         0,         0,         0,      1.00,      3.00,     19.00,         0,      4.00,         0,         0,         0,      1.00,         0,         0
      9.00,      1.00,         0,      6.00,         0,      1.00,         0,     37.00,     45.00,         0,     45.00,    453.00,    154.00,         0,    179.00,      7.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      1.00,         0,         0,         0,         0,      6.00,         0,         0,      1.00,         0,      2.00,         0,     34.00,         0,      1.00,         0,         0
     10.00,         0,         0,         0,         0,     31.00,         0,    304.00,    335.00,         0,    335.00,    111.00,     43.00,         0,    431.00,         0,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,         0,         0,      3.00,         0,         0,         0,         0,         0,         0,     25.00,    273.00,         0,         0,     28.00,      6.00,         0
