Stop Frequency,Work,University,School,Escorting,Shopping,Maintenance,Social and Eating Out,Discretionary,Work-Based
0 out 0 in,53.50%,60.90%,72.70%,71.30%,43.70%,51.90%,69.00%,65.40%,77.10%
0 out 1 in,14.70%,12.50%,11.80%,10.80%,10.30%,16.40%,8.10%,12.80%,8.30%
0 out 2 in,5.30%,4.70%,3.80%,2.70%,3.00%,4.80%,1.90%,3.20%,1.90%
0 out 3 in,3.10%,5.20%,1.60%,1.40%,1.80%,3.60%,1.00%,1.60%,0.70%
1 out 0 in,7.00%,6.20%,4.70%,6.40%,16.30%,6.90%,8.70%,7.50%,6.00%
1 out 1 in,5.50%,2.90%,3.20%,2.40%,6.50%,5.30%,3.90%,3.60%,2.80%
1 out 2 in,2.10%,0.80%,0.50%,0.60%,3.10%,1.50%,1.00%,1.10%,0.20%
1 out 3 in,1.30%,1.80%,0.30%,0.40%,1.10%,2.40%,0.10%,0.30%,0.30%
2 out 0 in,1.90%,1.40%,0.50%,2.30%,5.30%,2.70%,2.70%,1.30%,1.40%
2 out 1 in,1.50%,0.90%,0.50%,0.40%,2.00%,1.30%,1.20%,0.80%,0.30%
2 out 2 in,0.80%,0.90%,0.30%,0.20%,1.10%,0.70%,0.40%,0.10%,0.00%
2 out 3 in,0.40%,0.20%,0.00%,0.10%,0.80%,0.10%,0.10%,0.30%,0.10%
3 out 0 in,1.10%,1.20%,0.10%,1.00%,2.70%,1.50%,1.30%,1.20%,0.30%
3 out 1 in,0.90%,0.10%,0.00%,0.20%,1.50%,0.40%,0.30%,0.60%,0.10%
3 out 2 in,0.50%,0.30%,0.00%,0.00%,0.50%,0.30%,0.30%,0.20%,0.10%
3 out 3 in,0.50%,0.00%,0.10%,0.00%,0.40%,0.40%,0.00%,0.10%,0.00%
